date/time,Payment Type,order id,description,total,Transaction Type,Invoice Date,Order Id,Shipment Date,Order Date,Shipment Item Id,Item Description,Invoice Amount
6/7/2024,"Refund
",171-4380761-5411838,Product A,-416.07,Payment,,,,,,,
6/7/2024,"Adjustment
",204-7693046-8070749,FBA Inventory Reimbursement - Customer Return,404.76,Payment,,,,,,,
6/7/2024,"Order
",204-0847137-2515864,Product A,"1,037.46",Payment,,,,,,,
6/7/2024,"Order
",804-7184911-4272696,Product A,366.59,Payment,,,,,,,
6/7/2024,"Refund
",504-8987878-4357874,Product A,"-1,211.46",Payment,,,,,,,
6/7/2024,"Refund
",404-0345560-8415205,Product A,-661.68,Payment,,,,,,,
6/7/2024,"Order
",304-9331138-8138441,Product A,239.7,Payment,,,,,,,
6/7/2024,"Order
",504-0194322-1270995,Product A,259.05,Payment,,,,,,,
6/7/2024,"Refund
",304-1657447-3136904,Product A,-472.69,Payment,,,,,,,
6/7/2024,"Order
",704-8474960-3632120,Product A,"1,062.32",Payment,,,,,,,
6/7/2024,"Order
",704-9905732-6091865,Product A,194.56,Payment,,,,,,,
6/7/2024,"Order
",304-7551603-0491039,Product A,257.6,Payment,,,,,,,
6/7/2024,"Order
",171-9800331-6359330,Product A,445.63,Payment,,,,,,,
6/7/2024,"Refund
",504-8562373-4451954,Product A,-844.68,Payment,,,,,,,
6/7/2024,"Order
",171-3329855-4230030,Product A,196.7,Payment,,,,,,,
6/7/2024,"Refund
",504-4277975-3693718,Product A,-998.24,Payment,,,,,,,
6/7/2024,"Order
",171-1212380-7297332,Product A,361.92,Payment,,,,,,,
6/7/2024,"Order
",504-1012980-6436313,Product A,257.61,Payment,,,,,,,
6/7/2024,"Refund
",604-0326291-1536798,Product A,"-1,486.27",Payment,,,,,,,
6/7/2024,"Order
",704-7024236-8234426,Product A,414.15,Payment,,,,,,,
6/7/2024,"Refund
",204-8327229-0293187,Product A,-564.44,Payment,,,,,,,
6/7/2024,"Refund
",504-3050728-6074702,Product A,-886.38,Payment,,,,,,,
6/7/2024,"Refund
",204-2884437-6678313,Product A,"-1,118.71",Payment,,,,,,,
6/7/2024,"Order
",204-2991370-0319415,Product A,239.7,Payment,,,,,,,
6/7/0202,"Service Fee
",,Cost of Advertising,"-2,849.23",Payment,,,,,,,
6/7/0202,"Refund
",304-6507957-7597700,Product A,-511.89,Payment,,,,,,,
6/7/0202,"Refund
",304-4978107-8551178,Product A,"-1,148.24",Payment,,,,,,,
6/7/0202,"Order
",504-9801937-9215860,Product A,387.24,Payment,,,,,,,
6/7/0202,"Order
",604-4706533-7676289,Product A,356.19,Payment,,,,,,,
6/7/0202,"Order
",171-2586723-9619611,Product A,356.19,Payment,,,,,,,
6/7/0202,Fulfilment Fee Refund,171-3259878-5132386,Fulfillment Fee Refund,291.46,Payment,,,,,,,
6/7/0202,"Refund
",804-4989577-7376473,Product A,-615.79,Payment,,,,,,,
6/7/0202,"Order
",604-5586529-6630847,Product A,417.44,Payment,,,,,,,
6/7/0202,"Order
",404-3479172-9119048,Product A,483.77,Payment,,,,,,,
6/7/0202,"Refund
",504-8051987-6078369,Product A,-723.85,Payment,,,,,,,
6/7/0202,"Refund
",504-7222745-7319821,Product A,-726.65,Payment,,,,,,,
6/7/0202,"Refund
",171-3259878-5132386,Product A,-946.71,Payment,,,,,,,
6/7/0202,"Order
",404-5402815-3297995,Product A,525.47,Payment,,,,,,,
6/7/0202,"Order
",704-3256511-3515882,Product A,577.58,Payment,,,,,,,
6/7/0202,"Order
",804-5724466-0474720,Product A,858.08,Payment,,,,,,,
6/7/0202,"Order
",204-4819173-9313570,Product A,315.89,Payment,,,,,,,
6/7/0202,"Order
",804-2496865-0393193,Product A,257.61,Payment,,,,,,,
6/7/0202,"Order
",604-6144307-6632576,Product A,517.06,Payment,,,,,,,
6/7/0202,"Service Fee
",,Cost of Advertising,"-2,680.59",Payment,,,,,,,
6/7/0202,"Order
",704-9701956-2138889,Product A,366.59,Payment,,,,,,,
6/7/0202,"Order
",704-8110533-1111664,Product A,480.71,Payment,,,,,,,
6/7/0202,Fulfilment Fee Refund,304-9242952-7497753,Fulfillment Fee Refund,197.06,Payment,,,,,,,
6/7/0202,"Order
",704-2260607-8672646,Product A,836.27,Payment,,,,,,,
6/7/0202,"Order
",504-6357280-6053814,Product A,660.16,Payment,,,,,,,
6/7/0202,"Order
",704-3058953-1234402,Product A,366.59,Payment,,,,,,,
6/7/0202,"Order
",404-2840707-0315685,Product A,"1,007.68",Payment,,,,,,,
6/7/0202,"Refund
",504-7298132-6115806,Product A,"-1,026.56",Payment,,,,,,,
6/7/0202,"Refund
",504-7298132-6115806,Product A,"-1,191.70",Payment,,,,,,,
6/7/0202,"Order
",504-6222937-4295046,Product A,462.92,Payment,,,,,,,
6/7/0202,"Refund
",304-9242952-7497753,Product A,"-1,830.07",Payment,,,,,,,
6/7/0202,"Order
",704-6743259-2536143,Product A,239.7,Payment,,,,,,,
6/7/0202,"Service Fee
",,Cost of Advertising,"-2,449.01",Payment,,,,,,,
6/7/0202,"Order
",804-8772001-2330896,Product A,239.03,Payment,,,,,,,
6/7/0202,"Refund
",604-1686008-4436910,Product A,"-1,273.61",Payment,,,,,,,
6/7/0202,"Refund
",304-4228488-6238876,Product A,-329.48,Payment,,,,,,,
6/7/0202,"Order
",504-3682481-1330019,Product A,59.81,Payment,,,,,,,
6/7/0202,"Order
",704-5390440-1317351,Product A,266.56,Payment,,,,,,,
6/7/0202,"Order
",804-2859274-7257045,Product A,895.91,Payment,,,,,,,
6/7/0202,"Refund
",304-2725811-7393368,Product A,-403.12,Payment,,,,,,,
6/7/0202,"Order
",704-0578363-9270737,Product A,266.56,Payment,,,,,,,
6/7/0202,"Adjustment
",804-1463128-2530810,FBA Inventory Reimbursement - Customer Return,167.14,Payment,,,,,,,
6/7/0202,"Order
",704-1898603-9078388,Product A,356.19,Payment,,,,,,,
6/7/0202,"Order
",604-9616229-2136515,Product A,480.71,Payment,,,,,,,
6/7/0202,"Refund
",704-3153518-6657217,Product A,"-1,087.16",Payment,,,,,,,
6/7/0202,"Order
",204-8613156-1417342,Product A,166.07,Payment,,,,,,,
6/7/0202,"Order
",704-3622635-4251943,Product A,239.71,Payment,,,,,,,
6/7/0202,"Order
",204-3557714-6659900,Product A,366.59,Payment,,,,,,,
6/7/0202,"Order
",604-8984224-6019699,Product A,"1,190.70",Payment,,,,,,,
6/7/0202,"Order
",604-9209358-9430858,Product A,266.57,Payment,,,,,,,
6/7/0202,"Order
",171-3986339-2676664,Product A,207.36,Payment,,,,,,,
6/7/0202,"Order
",404-0265249-6655716,Product A,194.56,Payment,,,,,,,
6/7/0202,"Adjustment
",404-2672835-5115476,FBA Inventory Reimbursement - Customer Return,43.27,Payment,,,,,,,
6/7/0202,"Order
",604-7297350-7117797,Product A,259.05,Payment,,,,,,,
6/7/0202,"Refund
",604-1796892-8497581,Product A,"-1,483.40",Payment,,,,,,,
6/7/0202,"Refund
",504-7298132-6115806,Product A,"-1,231.36",Payment,,,,,,,
6/7/0202,"Refund
",604-3998273-9530478,Product A,"-1,484.36",Payment,,,,,,,
6/7/0202,"Refund
",704-3901656-4332373,Product A,"-1,813.27",Payment,,,,,,,
6/7/0202,"Order
",204-9018723-9072878,Product A,366.59,Payment,,,,,,,
6/7/0202,"Refund
",504-7298132-6115806,Product A,"-1,231.36",Payment,,,,,,,
6/7/0202,"Refund
",404-0473835-0593363,Product A,-392.82,Payment,,,,,,,
6/7/0202,"Refund
",504-1382170-1195899,Product A,-934.98,Payment,,,,,,,
6/7/0202,"Order
",404-6877395-9691893,Product A,366.59,Payment,,,,,,,
6/7/0202,"Order
",504-7938170-3515492,Product A,274.24,Payment,,,,,,,
6/7/0202,"Order
",604-4313184-7659764,Product A,166.05,Payment,,,,,,,
6/7/0202,"Order
",704-9315097-7693505,Product A,"1,190.70",Payment,,,,,,,
6/7/0202,"Refund
",604-6971171-0070768,Product A,-334.15,Payment,,,,,,,
6/7/0202,"Order
",204-3321585-1634063,Product A,317.9,Payment,,,,,,,
6/7/0202,"Order
",504-8372095-3299447,Product A,953.53,Payment,,,,,,,
6/7/0202,"Order
",504-8372095-3299447,Product A,526.69,Payment,,,,,,,
6/7/0202,"Service Fee
",,Cost of Advertising,"-2,820.86",Payment,,,,,,,
6/7/0202,"Order
",704-4874029-3497952,Product A,431.16,Payment,,,,,,,
6/7/0202,"Order
",404-4825932-6538410,Product A,184.84,Payment,,,,,,,
6/7/0202,"Order
",404-0598848-7155783,Product A,"1,008.78",Payment,,,,,,,
6/7/0202,"Order
",204-9201561-1153422,Product A,836.27,Payment,,,,,,,
6/7/0202,"Order
",604-8155340-4315297,Product A,239.7,Payment,,,,,,,
6/7/0202,"Order
",604-9256256-6019245,Product A,239.7,Payment,,,,,,,
6/7/0202,"Refund
",804-9323188-7572063,Product A,"-1,026.56",Payment,,,,,,,
6/7/0202,"Order
",804-1448055-2330820,Product A,-93.22,Payment,,,,,,,
6/7/0202,"Order
",504-7582163-1197907,Product A,"1,070.42",Payment,,,,,,,
6/7/0202,"Order
",404-4937315-2093957,Product A,387.24,Payment,,,,,,,
6/7/0202,"Order
",204-1402017-4630257,Product A,440.97,Payment,,,,,,,
6/7/0202,"Order
",204-0748406-2499098,Product A,317.9,Payment,,,,,,,
6/7/0202,"Refund
",604-9736404-9278120,Product A,-480.1,Payment,,,,,,,
6/7/0202,"Order
",204-7248601-1019448,Product A,881.92,Payment,,,,,,,
6/7/0202,"Adjustment
",804-0145477-1053256,FBA Inventory Reimbursement - Customer Return,42.84,Payment,,,,,,,
6/7/0202,"Order
",304-7678996-0511620,Product A,239.71,Payment,,,,,,,
6/7/0202,"Order
",604-9209358-9430858,Product A,239.7,Payment,,,,,,,
6/7/0202,"Order
",704-0535115-4291436,Product A,912.27,Payment,,,,,,,
6/7/0202,"Order
",171-5499886-3595297,Product A,356.19,Payment,,,,,,,
6/7/0202,"Order
",204-8996446-6676253,Product A,912.27,Payment,,,,,,,
6/7/0202,"Order
",704-7819914-3199005,Product A,239.04,Payment,,,,,,,
6/7/0202,"Order
",204-8445257-1217343,Product A,"2,505.12",Payment,,,,,,,
6/7/0202,"Order
",804-3838272-8095278,Product A,265.89,Payment,,,,,,,
6/7/0202,"Service Fee
",,Cost of Advertising,"-2,971.02",Payment,,,,,,,
6/7/0202,"Order
",204-8706628-2613561,Product A,317.9,Payment,,,,,,,
6/7/0202,"Order
",504-8609195-7634021,Product A,568.74,Payment,,,,,,,
6/7/0202,"Refund
",404-9765343-1472452,Product A,"-1,259.27",Payment,,,,,,,
6/7/0202,"Order
",404-5301478-2234677,Product A,59.81,Payment,,,,,,,
6/7/0202,"Order
",504-6574906-1559938,Product A,414.14,Payment,,,,,,,
6/7/0202,"Order
",604-4771068-4376812,Product A,166.06,Payment,,,,,,,
6/7/0202,"Order
",804-7241085-1536176,Product A,303.62,Payment,,,,,,,
6/7/0202,"Order
",504-9392083-6330629,Product A,483.77,Payment,,,,,,,
6/7/0202,"Order
",404-1976026-7411441,Product A,239.03,Payment,,,,,,,
6/7/0202,"Order
",204-2877559-4576277,Product A,392.3,Payment,,,,,,,
6/7/0202,"Order
",204-2877559-4576277,Product A,245.99,Payment,,,,,,,
6/7/0202,"Order
",604-8184949-8570717,Product A,315.89,Payment,,,,,,,
6/7/0202,"Order
",604-7030385-1695477,Product A,577.59,Payment,,,,,,,
6/7/0202,"Service Fee
",,Cost of Advertising,"-2,646.20",Payment,,,,,,,
6/7/0202,"Order
",304-0024780-0255198,Product A,"1,070.42",Payment,,,,,,,
6/7/0202,Fulfilment Fee Refund,804-6236586-5030698,Fulfillment Fee Refund,89.68,Payment,,,,,,,
6/7/0202,"Order
",604-4897563-2395235,Product A,480.71,Payment,,,,,,,
6/7/0202,"Order
",604-7130051-7515060,Product A,597.5,Payment,,,,,,,
6/7/0202,"Order
",604-2401710-4378593,Product A,825.66,Payment,,,,,,,
6/7/0202,"Refund
",804-6236586-5030698,Product A,-330.29,Payment,,,,,,,
6/7/0202,"Order
",404-2300705-8470967,Product A,257.61,Payment,,,,,,,
6/7/0202,"Order
",704-9619480-0411850,Product A,497.17,Payment,,,,,,,
6/7/0202,"Order
",804-3495119-1638087,Product A,-159.3,Payment,,,,,,,
6/7/0202,"Order
",704-4693784-5338635,Product A,414.15,Payment,,,,,,,
6/7/0202,"Order
",171-2589396-9319800,Product A,196.7,Payment,,,,,,,
6/7/0202,"Order
",604-1746443-8276664,Product A,366.59,Payment,,,,,,,
6/7/0202,"Service Fee
",,Cost of Advertising,"-2,718.22",Payment,,,,,,,
6/7/0202,"Order
",604-0363803-5559352,Product A,912.27,Payment,,,,,,,
6/7/0202,"Order
",404-5401444-2617545,Product A,568.74,Payment,,,,,,,
6/7/0202,"Order
",171-4258148-4672243,Product A,427.98,Payment,,,,,,,
6/7/0202,"Order
",504-5755746-1219620,Product A,366.59,Payment,,,,,,,
6/7/0202,"Order
",804-1167697-1034842,Product A,512.56,Payment,,,,,,,
6/7/0202,"Order
",804-7696945-3351799,Product A,525.47,Payment,,,,,,,
6/7/0202,"Order
",404-7054577-7193562,Product A,229.16,Payment,,,,,,,
6/7/0202,"Adjustment
",404-8490654-2634086,FBA Inventory Reimbursement - Customer Return,49.95,Payment,,,,,,,
6/7/0202,"Order
",704-7388909-5072431,Product A,274.25,Payment,,,,,,,
6/7/0202,"Adjustment
",704-3243263-9076600,FBA Inventory Reimbursement - Customer Return,148.74,Payment,,,,,,,
6/7/0202,"Order
",204-6374658-5455350,Product A,239.7,Payment,,,,,,,
6/7/0202,"Order
",504-9783138-4695010,Product A,912.27,Payment,,,,,,,
6/7/0202,"Refund
",504-9721942-1413576,Product A,"-1,216.83",Payment,,,,,,,
6/7/0202,"Order
",304-3536599-1695805,Product A,875.58,Payment,,,,,,,
6/7/0202,"Order
",804-9565464-0553277,Product A,480.7,Payment,,,,,,,
6/7/0202,Fulfilment Fee Refund,604-1982775-2653475,Fulfillment Fee Refund,350.46,Payment,,,,,,,
6/7/0202,"Order
",404-9244449-0393165,Product A,517.07,Payment,,,,,,,
6/7/0202,"Order
",504-0999302-6330436,Product A,233.28,Payment,,,,,,,
6/7/0202,"Order
",204-4141769-0574561,Product A,315.89,Payment,,,,,,,
6/7/0202,"Order
",304-2592818-5630863,Product A,831.01,Payment,,,,,,,
6/7/0202,"Order
",304-2592818-5630863,Product A,399.74,Payment,,,,,,,
6/7/0202,"Refund
",604-1982775-2653475,Product A,"-2,287.92",Payment,,,,,,,
6/7/0202,"Adjustment
",704-2553711-1174921,FBA Inventory Reimbursement - Customer Return,318.99,Payment,,,,,,,
6/7/0202,"Order
",404-1282614-8153600,Product A,214.46,Payment,,,,,,,
6/7/0202,"Refund
",804-4334883-7619245,Product A,-624.48,Payment,,,,,,,
6/7/0202,"Order
",204-2759434-7513590,Product A,214.46,Payment,,,,,,,
6/7/0202,"Service Fee
",,Cost of Advertising,"-2,501.33",Payment,,,,,,,
6/7/0202,"Order
",604-8375355-6570119,Product A,632.78,Payment,,,,,,,
6/7/0202,"Order
",604-0510510-2472078,Product A,257.6,Payment,,,,,,,
6/7/0202,Fulfilment Fee Refund,304-8645646-4072443,Fulfillment Fee Refund,158.12,Payment,,,,,,,
6/7/0202,"Order
",804-9647797-9032336,Product A,239.7,Payment,,,,,,,
6/7/0202,"Order
",304-6587872-7595831,Product A,317.9,Payment,,,,,,,
6/7/0202,"Order
",704-9441736-7197163,Product A,825.65,Payment,,,,,,,
6/7/0202,"Order
",304-5893931-9693145,Product A,414.14,Payment,,,,,,,
6/7/0202,"Order
",171-7882430-5038449,Product A,975.52,Payment,,,,,,,
6/7/0202,"Order
",604-3550780-0438802,Product A,513.75,Payment,,,,,,,
6/7/0202,"Order
",204-7108080-4178909,Product A,577.08,Payment,,,,,,,
6/7/0202,"Refund
",304-8645646-4072443,Product A,"-1,142.76",Payment,,,,,,,
6/7/0202,"Order
",404-4971721-1397967,Product A,436.25,Payment,,,,,,,
6/7/2024,"Order
",304-5099324-2132385,Product A,908.45,Payment,,,,,,,
6/7/2024,"Order
",704-2176841-0255913,Product A,375.08,Payment,,,,,,,
6/7/2024,"Order
",504-3550792-9576605,Product A,315.89,Payment,,,,,,,
6/7/2024,"Order
",804-5414146-7270549,Product A,196.71,Payment,,,,,,,
6/7/2024,"Order
",804-6733627-6236510,Product A,947.85,Payment,,,,,,,
6/7/2024,"Order
",304-5739189-4274179,Product A,875.59,Payment,,,,,,,
6/7/2024,"Order
",804-7644422-7672067,Product A,480.71,Payment,,,,,,,
6/7/2024,"Order
",704-1260595-4672666,Product A,569.35,Payment,,,,,,,
6/7/2024,"Order
",804-9910099-6455936,Product A,239.7,Payment,,,,,,,
6/7/2024,"Order
",604-3010123-0374565,Product A,239.7,Payment,,,,,,,
6/7/2024,"Order
",704-6647730-6699296,Product A,293.27,Payment,,,,,,,
6/7/2024,"Order
",804-3566277-5255125,Product A,239.7,Payment,,,,,,,
6/7/2024,"Order
",804-8822022-6111282,Product A,239.03,Payment,,,,,,,
6/7/2024,"Order
",204-5506068-5411039,Product A,836.28,Payment,,,,,,,
6/7/2024,"Order
",804-0294268-0513946,Product A,239.03,Payment,,,,,,,
6/7/2024,"Order
",704-0637765-5399434,Product A,303.62,Payment,,,,,,,
6/7/2024,"Order
",704-0637765-5399434,Product A,371.27,Payment,,,,,,,
6/7/2024,Fulfilment Fee Refund,504-6890415-8232516,Fulfillment Fee Refund,69.62,Payment,,,,,,,
6/7/2024,"Order
",704-1052523-1036571,Product A,483.77,Payment,,,,,,,
6/7/2024,"Order
",404-3160280-7078733,Product A,875.58,Payment,,,,,,,
6/7/2024,"Order
",604-5842544-1355500,Product A,417.43,Payment,,,,,,,
6/7/2024,"Adjustment
",,FBA Inventory Reimbursement - Damaged:Warehouse,109.4,Payment,,,,,,,
6/7/2024,"Order
",604-5349761-7051900,Product A,229.16,Payment,,,,,,,
